---------------------------------
| rollout/           |          |
|    ep_len_mean     | 500      |
|    ep_rew_mean     | -500     |
| time/              |          |
|    fps             | 2367     |
|    iterations      | 1        |
|    time_elapsed    | 3        |
|    total_timesteps | 8192     |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 500          |
|    ep_rew_mean          | -500         |
| time/                   |              |
|    fps                  | 1024         |
|    iterations           | 2            |
|    time_elapsed         | 15           |
|    total_timesteps      | 16384        |
| train/                  |              |
|    approx_kl            | 0.0073111425 |
|    clip_fraction        | 0.0585       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.09        |
|    explained_variance   | -0.062       |
|    learning_rate        | 0.0003       |
|    loss                 | 0.991        |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.00314     |
|    value_loss           | 41.6         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | -500        |
| time/                   |             |
|    fps                  | 849         |
|    iterations           | 3           |
|    time_elapsed         | 28          |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.007919888 |
|    clip_fraction        | 0.0276      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.09       |
|    explained_variance   | 0.132       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0992      |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.00146    |
|    value_loss           | 34          |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 488          |
|    ep_rew_mean          | -488         |
| time/                   |              |
|    fps                  | 776          |
|    iterations           | 4            |
|    time_elapsed         | 42           |
|    total_timesteps      | 32768        |
| train/                  |              |
|    approx_kl            | 0.0057117594 |
|    clip_fraction        | 0.0273       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.09        |
|    explained_variance   | 0.0746       |
|    learning_rate        | 0.0003       |
|    loss                 | 3.49         |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.00198     |
|    value_loss           | 19.7         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 432          |
|    ep_rew_mean          | -431         |
| time/                   |              |
|    fps                  | 717          |
|    iterations           | 5            |
|    time_elapsed         | 57           |
|    total_timesteps      | 40960        |
| train/                  |              |
|    approx_kl            | 0.0065508373 |
|    clip_fraction        | 0.0456       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.06        |
|    explained_variance   | 0.372        |
|    learning_rate        | 0.0003       |
|    loss                 | 4.64         |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.00498     |
|    value_loss           | 23.7         |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 350        |
|    ep_rew_mean          | -350       |
| time/                   |            |
|    fps                  | 695        |
|    iterations           | 6          |
|    time_elapsed         | 70         |
|    total_timesteps      | 49152      |
| train/                  |            |
|    approx_kl            | 0.00737675 |
|    clip_fraction        | 0.063      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.03      |
|    explained_variance   | 0.67       |
|    learning_rate        | 0.0003     |
|    loss                 | 17.2       |
|    n_updates            | 50         |
|    policy_gradient_loss | -0.00682   |
|    value_loss           | 38.3       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 223         |
|    ep_rew_mean          | -222        |
| time/                   |             |
|    fps                  | 684         |
|    iterations           | 7           |
|    time_elapsed         | 83          |
|    total_timesteps      | 57344       |
| train/                  |             |
|    approx_kl            | 0.007627557 |
|    clip_fraction        | 0.047       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.981      |
|    explained_variance   | 0.779       |
|    learning_rate        | 0.0003      |
|    loss                 | 19          |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.00549    |
|    value_loss           | 38.9        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 167         |
|    ep_rew_mean          | -166        |
| time/                   |             |
|    fps                  | 671         |
|    iterations           | 8           |
|    time_elapsed         | 97          |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.010728093 |
|    clip_fraction        | 0.0888      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.917      |
|    explained_variance   | 0.829       |
|    learning_rate        | 0.0003      |
|    loss                 | 19.7        |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.00666    |
|    value_loss           | 37.3        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 138         |
|    ep_rew_mean          | -137        |
| time/                   |             |
|    fps                  | 659         |
|    iterations           | 9           |
